year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified
2020,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,FALSE,DANNY MALOUF ,LIBERTARIAN,FALSE,total,75673,5968901,FALSE,20210114,LIBERTARIAN
2020,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,FALSE,DAVID F. BLACK,GREEN,FALSE,total,56711,5968901,FALSE,20210114,OTHER
2020,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,FALSE,KEVIN KEELY,,TRUE,total,10,5968901,FALSE,20210114,OTHER
2020,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,FALSE,LOWELL MARTIN SEIDA,,TRUE,total,6,5968901,FALSE,20210114,OTHER
2020,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,FALSE,ALBERT A. SCHAAL,,TRUE,total,2,5968901,FALSE,20210114,OTHER
2020,IOWA,IA,19,42,31,US SENATE,statewide,gen,FALSE,JONI ERNST,REPUBLICAN,FALSE,total,864997,1700130,FALSE,20210114,REPUBLICAN
2020,IOWA,IA,19,42,31,US SENATE,statewide,gen,FALSE,THERESA GREENFIELD,DEMOCRAT,FALSE,total,754859,1700130,FALSE,20210114,DEMOCRAT
2020,IOWA,IA,19,42,31,US SENATE,statewide,gen,FALSE,RICK STEWART,LIBERTARIAN,FALSE,total,36961,1700130,FALSE,20210114,LIBERTARIAN
2020,IOWA,IA,19,42,31,US SENATE,statewide,gen,FALSE,SUZANNE HERZOG,,FALSE,total,13800,1700130,FALSE,20210114,OTHER
2020,IOWA,IA,19,42,31,US SENATE,statewide,gen,FALSE,,,TRUE,total,1211,1700130,FALSE,20210114,OTHER
2020,IOWA,IA,19,42,31,US SENATE,statewide,gen,FALSE,UNDER VOTES,,FALSE,total,27438,1700130,FALSE,20210114,OTHER
2020,IOWA,IA,19,42,31,US SENATE,statewide,gen,FALSE,OVER VOTES,,FALSE,total,864,1700130,FALSE,20210114,OTHER
2020,KANSAS,KS,20,47,32,US SENATE,statewide,gen,FALSE,ROGER MARSHALL,REPUBLICAN,FALSE,total,727962,1367755,FALSE,20210114,REPUBLICAN
2020,KANSAS,KS,20,47,32,US SENATE,statewide,gen,FALSE,BARBARA BOLLIER,DEMOCRAT,FALSE,total,571530,1367755,FALSE,20210114,DEMOCRAT
2020,KANSAS,KS,20,47,32,US SENATE,statewide,gen,FALSE,JASON BUCKLEY,LIBERTARIAN,FALSE,total,68263,1367755,FALSE,20210114,LIBERTARIAN
2020,KENTUCKY,KY,21,61,51,US SENATE,statewide,gen,FALSE,MITCH MCCONNELL,REPUBLICAN,FALSE,total,1233315,2135057,FALSE,20210114,REPUBLICAN
2020,KENTUCKY,KY,21,61,51,US SENATE,statewide,gen,FALSE,AMY MCGRATH,DEMOCRAT,FALSE,total,816257,2135057,FALSE,20210114,DEMOCRAT
2020,KENTUCKY,KY,21,61,51,US SENATE,statewide,gen,FALSE,BRAD BARRON,LIBERTARIAN,FALSE,total,85386,2135057,FALSE,20210114,LIBERTARIAN
2020,KENTUCKY,KY,21,61,51,US SENATE,statewide,gen,FALSE,PAUL JOHN FRANGEDAKIS,,TRUE,total,70,2135057,FALSE,20210114,OTHER
2020,KENTUCKY,KY,21,61,51,US SENATE,statewide,gen,FALSE,DANIEL COBBLE,,TRUE,total,18,2135057,FALSE,20210114,OTHER
2020,KENTUCKY,KY,21,61,51,US SENATE,statewide,gen,FALSE,RANDALL LEE TEEGARGEN,,TRUE,total,9,2135057,FALSE,20210114,OTHER
2020,KENTUCKY,KY,21,61,51,US SENATE,statewide,gen,FALSE,DEMETRA WYSINGER,,TRUE,total,1,2135057,FALSE,20210114,OTHER
2020,KENTUCKY,KY,21,61,51,US SENATE,statewide,gen,FALSE,HAROLD H. FITZPATRICK,,TRUE,total,1,2135057,FALSE,20210114,OTHER
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,BERYL BILLIOT,UNAFFILIATED,FALSE,total,17362,2071543,FALSE,20210114,OTHER
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,JOHN PAUL BOURGEOIS,UNAFFILIATED,FALSE,total,16518,2071543,FALSE,20210114,OTHER
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,"""BILL"" CASSIDY",REPUBLICAN,FALSE,total,1228908,2071543,FALSE,20210114,REPUBLICAN
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,RENO JEAN DARET III,UNAFFILIATED,FALSE,total,3954,2071543,FALSE,20210114,OTHER
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,"DERRICK ""CHAMP"" EDWARDS",DEMOCRAT,FALSE,total,229814,2071543,FALSE,20210114,DEMOCRAT
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,"""XAN"" JOHN",OTHER,FALSE,total,2813,2071543,FALSE,20210114,OTHER
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,DAVID DREW KNIGHT,DEMOCRAT,FALSE,total,36962,2071543,FALSE,20210114,DEMOCRAT
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,"M.V. ""VINNY"" MENDOZA",INDEPENDENT,FALSE,total,7811,2071543,FALSE,20210114,OTHER
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,JAMAR MONTGOMERY,UNAFFILIATED,FALSE,total,5804,2071543,FALSE,20210114,OTHER
