name,office_sought,party_affiliation,office_level,district_type,body_text,total_emails_sent
Dwight Evans,U.S. House Pennsylvania District 3,Democratic Party,Federal,Congress,69,69
Earl Blumenauer,U.S. House Oregon District 3,Democratic Party,Federal,Congress,86,86
Earl Granville,U.S. House Pennsylvania District 8,Republican Party,Federal,Congress,47,47
Ed Cohen,U.S. House Nevada District 2,Democratic Party,Federal,Congress,21,21
Ed Markey,U.S. Senate Massachusetts,Democratic Party,Federal,State,268,268
Ed Perlmutter,U.S. House Colorado District 7,Democratic Party,Federal,Congress,159,159
Eddie Mauro,U.S. Senate Iowa,Democratic Party,Federal,State,122,122
"Edward Hanes, Jr.",U.S. House North Carolina District 6,Democratic Party,Federal,Congress,38,38
Elaine Hays,U.S. House Texas District 13,Republican Party,Federal,Congress,10,10
Elaine Luria,U.S. House Virginia District 2,Democratic Party,Federal,Congress,368,368
Elianor Vessali,U.S. House Texas District 17,Republican Party,Federal,Congress,35,35
Elisa Martinez,U.S. Senate New Mexico,Republican Party,Federal,State,92,92
Elissa Slotkin,U.S. House Michigan District 8,Democratic Party,Federal,Congress,195,223
Elizabeth Matory,U.S. House Maryland District 7,Republican Party,Federal,Congress,36,36
Ellen Marks,U.S. House Indiana District 2,Democratic Party,Federal,Congress,17,17
Eric Brakey,U.S. House Maine District 2,Republican Party,Federal,Congress,140,140
Eric Early,U.S. House California District 28,Republican Party,Federal,Congress,22,22
Eric Esshaki,U.S. House Michigan District 11,Republican Party,Federal,Congress,103,103
Eric Hanke,U.S. House Texas District 31,Democratic Party,Federal,Congress,29,29
Eric Moyer,U.S. House Ohio District 10,Democratic Party,Federal,Congress,11,11
Esmeralda Soria,U.S. House California District 16,Democratic Party,Federal,Congress,30,30
Eugene DePasquale,U.S. House Pennsylvania District 10,Democratic Party,Federal,Congress,277,277
Eva Putzova,U.S. House Arizona District 1,Democratic Party,Federal,Congress,140,140
Evelyn Farkas,U.S. House New York District 17,Democratic Party,Federal,Congress,2473,2474
Floyd McLendon Jr.,U.S. House Texas District 32,Republican Party,Federal,Congress,16,16
Francis Conole,U.S. House New York District 24,Democratic Party,Federal,Congress,378,378
Frank Pallotta,U.S. House New Jersey District 5,Republican Party,Federal,Congress,117,117
G.K. Butterfield,U.S. House North Carolina District 1,Democratic Party,Federal,Congress,120,120
Gary Peters,U.S. Senate Michigan,Democratic Party,Federal,State,2055,2055
Gavin Clarkson,U.S. Senate New Mexico,Republican Party,Federal,State,27,27
Genevieve Collins,U.S. House Texas District 32,Republican Party,Federal,Congress,117,117
George Buck,U.S. House Florida District 13,Republican Party,Federal,Congress,80,80
George Devolder-Santos,U.S. House New York District 3,Republican Party,Federal,Congress,31,31
Georgette Gomez,U.S. House California District 53,Democratic Party,Federal,Congress,170,170
Gerald Edward Connolly,U.S. House Virginia District 11,Democratic Party,Federal,Congress,207,207
Gil Cisneros,U.S. House California District 39,Democratic Party,Federal,Congress,326,326
Gina Ortiz Jones,U.S. House Texas District 23,Democratic Party,Federal,Congress,774,774
Gladys Harrison,U.S. House Nebraska District 2,Democratic Party,Federal,Congress,187,187
Glenn Grothman,U.S. House Wisconsin District 6,Republican Party,Federal,Congress,69,69
Glenn Thompson,U.S. House Pennsylvania District 15,Republican Party,Federal,Congress,16,16
Grace Meng,U.S. House New York District 6,Democratic Party,Federal,Congress,51,51
Greg Hill,U.S. House Texas District 22,Republican Party,Federal,Congress,42,42
Greg Pence,U.S. House Indiana District 6,Republican Party,Federal,Congress,38,38
Greg Raths,U.S. House California District 45,Republican Party,Federal,Congress,64,64
Gregory Coll,U.S. House Maryland District 8,Republican Party,Federal,Congress,21,21
Gretchen Driskell,U.S. House Michigan District 7,Democratic Party,Federal,Congress,649,649
Guy Reschenthaler,U.S. House Pennsylvania District 14,Republican Party,Federal,Congress,48,48
Gwen Moore,U.S. House Wisconsin District 4,Democratic Party,Federal,Congress,22,22
Haley Stevens,U.S. House Michigan District 11,Democratic Party,Federal,Congress,257,257
Hank Johnson,U.S. House Georgia District 4,Democratic Party,Federal,Congress,224,224
Harley Rouda,U.S. House California District 48,Democratic Party,Federal,Congress,980,981
Harry Spikes,U.S. House Maryland District 7,Democratic Party,Federal,Congress,11,11
Heerak Christian Kim,U.S. House Virginia District 8,Republican Party,Federal,Congress,16,16
Heidi Sloan,U.S. House Texas District 25,Democratic Party,Federal,Congress,59,59
Henry Cuellar,U.S. House Texas District 28,Democratic Party,Federal,Congress,81,81
