,w,corpus_count
951,absolutely,4979
952,reallocated,78
953,defunding,589
954,treated,504
955,remain,5801
956,acts,3809
957,rioting,203
958,the hands,1271
959,law enforcement officers,277
960,looting,226
961,business,9627
962,Ohio,2378
963,spoke,1989
964,Image,3638
965,Ilhan Omar,537
966,far,19110
967,housing,1835
968,appreciate,14004
969,Pelosi,7379
970,pushing,9390
971,Our campaign,9909
972,stopping,1853
973,continuing,2281
974,the word,2214
975,CHIP,10078
976,politics,8637
977,defund,1781
978,secure,8064
979,stands,6128
980,the process,1038
981,removed,629
982,Minneapolis,869
983,spreading,2303
984,volunteer,15103
985,trained,2704
986,your friends,3198
987,jail,282
988,money,32371
989,hand,19398
990,worse,3444
991,quickly,3932
992,another amount,15267
993,endorsed,6130
994,Bernie Sanders,2551
995,Suite,7848
996,oppose,2014
997,represented,1676
998,wrote,1763
999,cost,10030
1000,the lives,4496
1001,passing,2716
1002,a moment,5522
1003,require,6832
1004,the face,1796
1005,decades,4771
1006,Believe,444
1007,dignity,3494
1008,accept,6581
1009,ordered,479
1010,lives,12188
1011,happened,1531
1012,suppress,4432
1013,Learn,2314
1014,different,16799
1015,writing,2192
1016,honored,2616
1017,risk,7182
1018,institutions,827
1019,directly,9783
1020,ways,17464
1021,lie,97617
1022,attacks,13726
1023,gave,2987
1024,donated,8865
1025,the record,1465
1026,signed,3876
1027,my support,684
1028,Donald J. Trump,3469
1029,the first time,2933
1030,opposed,459
1031,the bill,1226
1032,a bill,1258
1033,the crime,104
1034,one thing,2129
1035,promote,4547
1036,worst,2619
1037,true,6497
1038,tells,1181
1039,recently,5956
1040,New York City,720
1041,CNN,2928
1042,charged,458
1043,survivors,529
1044,denied,561
1045,sick,2713
1046,firsthand,1310
1047,broke,13071
1048,Sri,918
1049,Team,56645
1050,staying,3505
1051,healthy,5270
1052,individually,440
1053,lower,4756
1054,saving,9006
1055,attacking,4242
1056,a time,3810
1057,the rise,331
1058,dangerous,6598
1059,the safety,996
1060,campaign,113755
1061,buy,8324
1062,incredibly,5556
1063,pumped,964
1064,her campaign,4344
1065,the community,952
1066,play,7562
1067,influence,3023
1068,elections,10262
1069,ignored,1208
1070,William Barr,269
1071,illegally,220
1072,Trump’s crimes,30
1073,New York,9510
1074,the fact,2280
1075,abusing,227
1076,his power,846
1077,our petition,2665
1078,their power,693
1079,Sean,1306
1080,grew,2615
1081,requires,3662
1082,compassion,5058
1083,messages,5554
1084,the end,8248
1085,slavery,241
1086,PO Box,54431
1087,error,24722
1088,the interests,560
1089,Another Amount,8209
1090,community,16759
1091,SIGN,7328
1092,THE PETITION,1304
1093,literally,1330
1094,Iowa,4379
1095,puts,3545
1096,prison,555
1097,small,13410
1098,the rest,3437
1099,their lives,1624
1100,this month,3921
1101,Senate Republicans,1693
1102,our House Majority,2814
1103,easy,9356
1104,hit,33950
1105,overturn,7501
1106,deadline,30306
1107,the future,12921
1108,this seat,13154
1109,Justice,6523
1110,the officers,95
1111,an important way,7403
1112,donations,17935
1113,interested,3077
1114,disgusted,329
1115,Antifa,240
1116,the soul,6665
1117,stake,15243
1118,emailing,3428
1119,missed,2050
1120,the Republican National Convention,731
1121,President Donald J. Trump,1327
1122,Adam Schiff,672
1123,conservative values,1546
1124,conservatives,3344
1125,transforming,7923
1126,Defund,320
1127,our Military,67
1128,the United States of America,297
1129,our first television ad,87
1130,a few bucks,439
1131,Our message,160
1132,Conservatives,832
1133,family values,73
1134,our second amendment rights,54
1135,rioters,285
1136,looters,122
1137,ANTIFA members,21
1138,our nation’s cities,21
1139,monuments,170
1140,our cities,299
1141,ease,112835
1142,our border control,21
1143,decrease,216
1144,our great nation’s principles,21
1145,values,15821
1146,the radical left,1081
1147,VICTORY,913
1148,Jim Jordan,694
1149,the Republican Party,3128
1150,African Americans,2634
1151,automatically,1845
1152,dedicated,32578
1153,every American,2239
1154,BREAKING,7878
1155,the only way,5382
1156,HELP,5469
1157,despite,2150
1158,cause,56285
1159,Send,1505
1160,unacceptable,1083
1161,our president,1435
1162,an individual,885
1163,designated,900
1164,federal government contractors,1259
1165,foreign nationals,2010
1166,prohibited,2806
1167,probably,1228
1168,calls,8907
1169,pursue,386
1170,little,5957
1171,agreed,1634
1172,shall,593
1173,course,3527
1174,seriously,2563
1175,raising,46667
1176,school,10548
1177,Los Angeles,975
1178,My father,512
1179,leave,5369
1180,ends,34324
1181,met,11146
1182,apart,4052
1183,CONGRESS,13351
1184,exposing,442
1185,war crimes,36
1186,intended,2106
1187,opening,2815
1188,accused,327
1189,court,2914
1190,Watch,2156
1191,protected,1815
1192,The truth,1308
1193,charitable contributions,1434
1194,Federal law,2509
1195,report,12911
1196,the name,3118
1197,mailing address,8235
1198,occupation,2750
1199,employer,3273
1200,each individual,866
1201,whose contributions,2169
1202,excess,1930
1203,an election cycle,1529
1204,a message,2605
1205,Virginia,2548
1206,District,17520
1207,President Donald Trump,940
1208,states,11368
1209,a president,1349
1210,refusing,1507
1211,the facts,1002
1212,our campaigns,3369
1213,STAND,1745
1214,submit,3503
1215,exceed,2332
1216,RSVP,4206
1217,ultimately,7554
1218,visited,725
1219,terrified,1566
1220,Jon Ossoff,1504
1221,tomorrow,12533
1222,Jon,5793
1223,EXPRESS,762
1224,Senate P.O. Box 450326,0
1225,Atlanta,1614
1226,JON OSSOFF,1168
1227,[[EMAIL_REDACTED]] | Change,10565
1228,Your grassroots support,7938
1229,a federal crime,70
1230,friend,23533
1231,efforts,28005
1232,Georgians,950
1233,Coronavirus,2497
1234,bought,968
1235,U.S. Senate,18849
1236,a wave,5359
1237,poverty,1131
1238,higher,3958
1239,END,19406
1240,P.S.,7041
1241,My opponent,2135
1242,caught,858
1243,the abuse,90
1244,runs,3880
1245,the U.S. Senate,13453
1246,Senator,24732
1247,exposed,671
1248,rip,20587
1249,check,19939
1250,emailed,2500
1251,explain,3750
1252,corrupt,6881
1253,a man,801
1254,violated,396
1255,vulnerable,8316
1256,high,20310
1257,your family,4110
1258,death,2754
1259,American jobs,173
1260,RUSH,8931
1261,an event,615
1262,Eric,1532
1263,RIGHT,6147
1264,rush,21087
1265,my friend,1783
1266,gotten,1919
1267,WIN,12032
1268,blue,22600
1269,gun violence,6044
1270,securing,911
1271,stepping,4651
1272,a right,1968
1273,ANY AMOUNT,3509
1274,steal,2487
1275,endorse,20990
1276,works,7608
1277,leads,957
1278,investigate,428
1279,fail,11580
1280,reading,6491
1281,the door,1440
1282,murder,904
1283,ensuring,2977
1284,small businesses,3259
1285,looked,767
1286,totally,919
1287,donors,26023
1288,strengthen,1849
1289,progress,19144
1290,the NRA,3820
1291,science,10238
1292,Immediately,390
1293,told,5036
1294,Listen,3604
1295,fights,3826
1296,faced,2472
1297,promise,8164
1298,define,720
1299,a world,2912
